bakim_carpani,t,foton_carpani,n2_carpani,h2o_cap,durum,buyume
3.5,0.66,0.8606,0.660068,660.34,optimal,0.004923922382073827
3.5,0.68,0.8688,0.680064,680.32,optimal,0.005066027218324711
3.5,0.7,0.877,0.7000599999999999,700.3,optimal,0.005208132054574892
3.5,0.72,0.8852,0.7200559999999999,720.28,optimal,0.005350236890826823
3.5,0.74,0.8934,0.7400519999999999,740.26,optimal,0.0054923417270778315
3.5,0.76,0.9016,0.7600480000000001,760.24,optimal,0.005634446563328821
3.5,0.78,0.9097999999999999,0.7800440000000001,780.22,optimal,0.005776551399582728
3.5,0.8,0.918,0.8000400000000001,800.2,optimal,0.005918656235830865
3.5,0.82,0.9261999999999999,0.820036,820.18,optimal,0.006060761072082892
3.5,0.84,0.9344,0.840032,840.16,optimal,0.006202865908331904
3.5,0.86,0.9426,0.860028,860.14,optimal,0.0063449707445838435
3.5,0.88,0.9508,0.880024,880.12,optimal,0.006487075580838776
3.5,0.9,0.9590000000000001,0.90002,900.1,optimal,0.006629180417087886
3.5,0.92,0.9672000000000001,0.9200160000000001,920.08,optimal,0.00677128525333879
3.5,0.94,0.9754,0.940012,940.06,optimal,0.006913390089593808
3.5,0.96,0.9836,0.960008,960.04,optimal,0.007055494925841924
3.5,0.98,0.9918,0.980004,980.02,optimal,0.0071975997620958515
3.5,1.0,1.0,1.0,1000.0,optimal,0.007339704598343876
4.0,0.0,0.59,0.0002,1.0,infeasible,
4.0,0.02,0.5982,0.020196,20.98,infeasible,
4.0,0.04,0.6063999999999999,0.040192,40.96,infeasible,
4.0,0.06,0.6145999999999999,0.060188,60.94,infeasible,
4.0,0.08,0.6228,0.080184,80.92,infeasible,
4.0,0.1,0.631,0.10018000000000002,100.9,infeasible,
4.0,0.12,0.6392,0.120176,120.88,infeasible,
4.0,0.14,0.6474,0.14017200000000002,140.86,infeasible,
4.0,0.16,0.6556,0.160168,160.84,infeasible,
4.0,0.18,0.6638,0.180164,180.82,optimal,8.62415290304763e-05
4.0,0.2,0.6719999999999999,0.20016000000000003,200.8,optimal,0.00022834636527521886
4.0,0.22,0.6801999999999999,0.22015600000000002,220.78,optimal,0.00037045120152442594
4.0,0.24,0.6884,0.240152,240.76,optimal,0.0005125560377774503
4.0,0.26,0.6966,0.260148,260.74,optimal,0.0006546608740246174
4.0,0.28,0.7048,0.280144,280.72,optimal,0.0007967657102756995
4.0,0.3,0.713,0.30013999999999996,300.7,optimal,0.0009388705465268385
4.0,0.32,0.7212,0.320136,320.68,optimal,0.0010809753827798186
4.0,0.34,0.7294,0.340132,340.66,optimal,0.0012230802190251826
4.0,0.36,0.7376,0.36012799999999995,360.64,optimal,0.0013651850552742237
4.0,0.38,0.7458,0.380124,380.62,optimal,0.001507289891529262
4.0,0.4,0.754,0.40012000000000003,400.6,optimal,0.0016493947277900832
4.0,0.42,0.7622,0.420116,420.58,optimal,0.0017914995640353852
4.0,0.44,0.7704,0.440112,440.56,optimal,0.001933604400282571
4.0,0.46,0.7786,0.460108,460.54,optimal,0.002075709236529719
4.0,0.48,0.7867999999999999,0.480104,480.52,optimal,0.0022178140727904974
4.0,0.5,0.7949999999999999,0.5001,500.5,optimal,0.0023599189090376693
4.0,0.52,0.8032,0.520096,520.48,optimal,0.0025020237452907787
4.0,0.54,0.8114,0.540092,540.46,optimal,0.0026441285815378764
4.0,0.56,0.8196,0.560088,560.44,optimal,0.0027862334178006994
4.0,0.58,0.8278,0.5800839999999999,580.42,optimal,0.0029283382540441216
4.0,0.6,0.836,0.60008,600.4,optimal,0.003070443090295279
4.0,0.62,0.8442000000000001,0.620076,620.38,optimal,0.003212547926545958
4.0,0.64,0.8524,0.640072,640.36,optimal,0.0033546527627990497
4.0,0.66,0.8606,0.660068,660.34,optimal,0.0034967575990387904
4.0,0.68,0.8688,0.680064,680.32,optimal,0.003638862435301331
4.0,0.7,0.877,0.7000599999999999,700.3,optimal,0.0037809672715447035
4.0,0.72,0.8852,0.7200559999999999,720.28,optimal,0.003923072107797934
4.0,0.74,0.8934,0.7400519999999999,740.26,optimal,0.0040651769440488515
4.0,0.76,0.9016,0.7600480000000001,760.24,optimal,0.004207281780303975
4.0,0.78,0.9097999999999999,0.7800440000000001,780.22,optimal,0.004349386616541221
4.0,0.8,0.918,0.8000400000000001,800.2,optimal,0.004491491452815691
4.0,0.82,0.9261999999999999,0.820036,820.18,optimal,0.0046335962890628685
4.0,0.84,0.9344,0.840032,840.16,optimal,0.0047757011253201035
4.0,0.86,0.9426,0.860028,860.14,optimal,0.0049178059615691385
4.0,0.88,0.9508,0.880024,880.12,optimal,0.005059910797808427
4.0,0.9,0.9590000000000001,0.90002,900.1,optimal,0.005202015634061613
4.0,0.92,0.9672000000000001,0.9200160000000001,920.08,optimal,0.005344120470299103
4.0,0.94,0.9754,0.940012,940.06,optimal,0.0054862253065561355
4.0,0.96,0.9836,0.960008,960.04,optimal,0.005628330142807274
4.0,0.98,0.9918,0.980004,980.02,optimal,0.005770434979048379
4.0,1.0,1.0,1.0,1000.0,optimal,0.0059125398153170175
